Versión,Autor,Descripción,Fecha,Revisión,Revisado Por
0.1.0,Rodrigo Muñoz Guerrero,Creación de documento de alcance,"March 3, 2023",Reviewed,Kenny Eduard Vercaemer González
0.2.0,Rodrigo Muñoz Guerrero,???,"March 3, 2023",Reviewed,Kenny Eduard Vercaemer González
