Versión,Descripción,Autor,Fecha,Revisado,Revisado por
1.0,Creación,"Monica Ayala, Olivia Araceli Morales Quezada","February 28, 2023 12:00 AM (CST)",Reviewed,"Eduardo Juárez, Ray"
1.2,Revisión con Lalo,"Monica Ayala, Olivia Araceli Morales Quezada","March 1, 2023 5:01 PM (CST)",Reviewed,Equipo CMMI
1.3,Se cambio de creación de procesos → definición de experimentos,Olivia Araceli Morales Quezada,"March 2, 2023 10:45 AM (CST)",Reviewed,"@Monica Ayala "
