Versión,Autor,Descripción,Fecha,Revisión,Revisado Por
0.1.0,Kenny Eduard Vercaemer González,Definición inicial de requerimientos no funcionales.,"March 3, 2023",Not Reviewed,
0.2.0,Kenny Eduard Vercaemer González,Especificación de versiones para OS y DB,"March 3, 2023",Reviewed,Reno
