Versión,Descripción,Autor,Fecha,Revisado,Revisado por
1.0,Creación,Kenny Eduard Vercaemer González,"February 23, 2023",Reviewed,"@Monica Ayala "
1.1,Se actualiza historial de cambios y se agrega a olivia morales como administradora de Controlado,Monica Ayala,"March 2, 2023",Needs Review," "
