Versión,Autor,Descripción,Fecha,Revisión,Revisado Por
0.1.0,Kenny Eduard Vercaemer González,Creación de documento por hacer,"March 3, 2023",Reviewed,Monica Ayala
1.0.0,Monica Ayala,"Se añadió callout y contenido, se clasificaron los documentos de información de RAM","March 3, 2023",Reviewed,"Kenny Eduard Vercaemer González, Rodrigo Muñoz Guerrero"
