Name,Periodo,Estado,Roles
Alcanzar el nivel 2 de madurez del CMMI.,Primer periodo,Sin iniciar,Roles%2057a875e38e6344fd85278871ed4853ea/Mo%CC%81nica%20Andrea%20Ayala%20Marrero%204f52e16b649941098bd4f888b65b5582.csv
Que todos los integrantes del Departamento alcancen como mínimo el nivel Jedi en las competencias del periodo.,Primer periodo,Sin iniciar,Roles%2057a875e38e6344fd85278871ed4853ea/Mo%CC%81nica%20Andrea%20Ayala%20Marrero%204f52e16b649941098bd4f888b65b5582.csv
Consolidar un Departamento de TI y lograr con éxito los proyectos de desarrollo.,Semestral,Progreso,
