Nombre,Grupo,Tags,URL
Sondeo de riesgos con el departamento y equipos,Departamento,análisis,https://docs.google.com/spreadsheets/d/1f3BQOKItZ1KHzMdbKvSrA0auMifAFjAvYuA8AYWhzbg/edit#gid=0
"Objetivos definidos en el departamento, equipos y proyectos",Departamento,"gestion, monitorización",
