Versión,Autor,Descripción,Fecha,Revisión,Revisado Por
0.1.0,Rodrigo Muñoz Guerrero,Creación de historias de usuario,"March 3, 2023",Reviewed,Monica Ayala
1.0.0,Kenny Eduard Vercaemer González,Nuevo documento en formato apropiado,"March 3, 2023",Not Reviewed,
